Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
High,High,High,Low,No,Adequate,Medium,Low,Yes,Many,High,Medium,Public,Negative,Medium,No,College,Near,Male,Pass
Medium,Medium,Medium,High,No,High,Low,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Moderate,Female,Pass
Medium,High,Medium,Medium,Yes,Low,High,Medium,Yes,Few,Medium,High,Public,Neutral,Low,No,College,Far,Male,Pass
High,High,Medium,High,No,Low,High,High,Yes,Few,Low,Medium,Private,Positive,Low,No,College,Near,Male,Excellent
High,Low,Low,Medium,No,Adequate,Medium,Low,Yes,Many,High,Medium,Public,Neutral,Low,No,College,Near,Female,Pass
High,High,Medium,Medium,No,Low,High,Low,Yes,Many,Low,Low,Public,Positive,Medium,Yes,Postgraduate,Near,Male,Pass
Medium,Medium,Medium,Medium,No,Adequate,High,Medium,Yes,Few,Low,High,Public,Neutral,Medium,No,High school,Near,Female,Pass
High,Medium,Low,Medium,Yes,Adequate,Medium,High,Yes,Few,High,Medium,Private,Positive,Medium,No,Postgraduate,Near,Male,Pass
Low,High,Medium,High,Yes,Adequate,High,Low,Yes,Few,Low,High,Private,Neutral,Low,No,College,Near,Female,Pass
High,Medium,Medium,High,Yes,Adequate,Medium,Low,Yes,Few,Medium,High,Public,Negative,Medium,No,Postgraduate,Far,Male,Pass
High,Medium,Medium,Low,Yes,Adequate,High,Low,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,High,Yes,High,Low,Low,Yes,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Moderate,Male,Pass
Medium,Medium,Medium,Medium,No,Adequate,Medium,Low,Yes,Few,Medium,Low,Public,Positive,Medium,No,High school,Near,Female,Pass
Medium,Medium,High,High,Yes,Low,Medium,Medium,Yes,Few,Low,High,Public,Positive,Medium,No,Postgraduate,Near,Female,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,Medium,High,Yes,Few,High,High,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,Low,Low,Medium,Yes,Many,Low,Medium,Public,Neutral,Low,No,College,Moderate,Female,Pass
Medium,High,High,Medium,Yes,Low,Medium,Medium,Yes,Few,High,Medium,Private,Neutral,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,Medium,Medium,No,Low,Medium,Low,Yes,Many,Low,High,Private,Neutral,Medium,No,Postgraduate,Moderate,Female,Pass
Medium,Medium,Low,High,No,High,Low,Low,Yes,Many,Medium,Medium,Public,Negative,Medium,No,High school,Moderate,Female,Pass
High,High,Medium,Low,Yes,Low,Low,Medium,Yes,Few,Low,Medium,Public,Neutral,Low,No,College,Near,Female,Pass
High,Medium,Medium,Low,Yes,Adequate,Low,Low,Yes,Few,Low,Medium,Private,Positive,Medium,No,High school,Near,Female,Pass
Medium,Medium,Medium,Low,Yes,Adequate,Low,Low,Yes,Few,Low,Low,Public,Positive,Low,No,High school,Moderate,Female,Fail
Medium,Medium,Low,Medium,No,Adequate,Medium,Medium,Yes,Many,Medium,Medium,Private,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,High,Medium,No,High,Low,High,No,Many,Medium,Medium,Public,Positive,Medium,No,College,Near,Female,Pass
Medium,High,Low,Medium,Yes,Adequate,High,Low,No,Few,Low,High,Public,Positive,Medium,No,College,Near,Female,Pass
High,High,High,Medium,No,Low,Low,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Female,Pass
High,Medium,High,Low,No,Low,Low,Low,Yes,Few,Medium,Medium,Public,Positive,Low,No,College,Far,Male,Pass
Low,Medium,High,Medium,Yes,Adequate,Medium,Low,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Near,Male,Excellent
High,High,High,Low,No,Adequate,Low,High,Yes,Few,Low,Low,Public,Positive,Medium,No,Postgraduate,Near,Female,Excellent
High,High,Low,High,Yes,Adequate,Low,Low,No,Few,Low,Low,Public,Negative,Low,No,Postgraduate,Near,Female,Pass
High,Medium,High,High,No,Adequate,High,Low,Yes,Few,Low,Medium,Public,Neutral,Low,No,High school,Moderate,Male,Fail
High,High,Medium,High,Yes,Low,Medium,High,No,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Moderate,Male,Pass
High,Medium,High,High,Yes,Adequate,Low,Low,Yes,Many,Medium,Low,Public,Neutral,Medium,No,High school,Far,Female,Pass
High,High,Medium,Low,No,Low,Medium,Medium,No,Many,Low,Medium,Private,Negative,Low,No,High school,Moderate,Male,Pass
High,High,Medium,Medium,Yes,Adequate,Low,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Near,Male,Pass
High,High,High,Medium,No,Low,Medium,Low,Yes,Few,High,High,Private,Positive,Medium,Yes,High school,Near,Male,Pass
Medium,High,Low,High,Yes,Low,Medium,Medium,Yes,Few,Medium,Medium,Public,Neutral,Low,No,High school,Near,Female,Pass
Medium,High,Low,Medium,No,Low,High,Low,Yes,Few,High,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Pass
High,Medium,Medium,Medium,Yes,Adequate,High,Low,Yes,Many,Medium,Low,Public,Negative,Medium,No,Postgraduate,Moderate,Male,Pass
High,Medium,High,Medium,No,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Negative,Low,No,College,Far,Female,Pass
Medium,High,Medium,High,Yes,High,Low,Low,Yes,Few,Low,Medium,Private,Positive,Medium,No,College,Moderate,Female,Pass
Medium,Medium,Medium,High,Yes,High,Medium,Medium,Yes,Few,Low,High,Private,Positive,Medium,No,College,Near,Male,Pass
High,Medium,High,Medium,No,High,Low,Medium,Yes,Few,Low,Medium,Public,Neutral,Low,No,High school,Near,Male,Pass
High,Medium,Low,High,No,Adequate,High,Low,No,Few,Medium,Low,Private,Negative,Medium,No,Postgraduate,Near,Female,Pass
Medium,High,Medium,High,Yes,Adequate,Medium,Medium,Yes,Few,Medium,High,Public,Positive,Low,No,High school,Near,Male,Pass
High,High,High,Medium,Yes,Low,Low,High,Yes,Few,Medium,Medium,Public,Positive,Medium,No,Postgraduate,Near,Female,Pass
High,High,Medium,High,Yes,Low,Medium,High,Yes,Few,Medium,High,Private,Neutral,Low,No,College,Near,Male,Pass
High,High,Medium,High,Yes,High,Medium,Low,Yes,Few,High,Low,Public,Positive,Medium,No,High school,Near,Male,Excellent
Medium,Medium,Low,Low,No,Low,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Low,No,College,Moderate,Female,Fail
Medium,High,Low,Medium,Yes,Adequate,Low,Medium,Yes,Few,Low,Medium,Private,Neutral,Medium,Yes,High school,Near,Male,Pass
Medium,High,Low,Medium,No,High,Medium,Low,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Near,Female,Pass
Medium,Medium,Low,Medium,Yes,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,Low,High,Yes,Adequate,High,Low,Yes,Many,Low,Low,Public,Positive,Low,No,College,Near,Male,Pass
Medium,Low,Medium,Medium,Yes,Low,High,Medium,Yes,Few,Medium,Medium,Private,Negative,Medium,No,College,Far,Male,Pass
Medium,High,Low,Medium,No,Adequate,Low,Medium,Yes,Many,High,High,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,High,High,Yes,High,Medium,Medium,Yes,Many,High,Medium,Public,Positive,Medium,No,College,Far,Male,Pass
Medium,High,High,High,Yes,Adequate,Medium,High,Yes,Few,Medium,High,Public,Positive,Low,No,High school,Near,Male,Pass
Low,High,Medium,Low,Yes,High,Low,Low,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,High,No,Adequate,High,Low,No,Few,High,Low,Public,Positive,Medium,Yes,High school,Near,Female,Pass
High,High,High,Low,Yes,Adequate,High,Medium,Yes,Few,Low,Low,Public,Neutral,Medium,No,College,Near,Male,Pass
Medium,High,Medium,Medium,No,Adequate,Medium,Low,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Near,Female,Excellent
Medium,Medium,High,High,No,Low,Medium,Low,Yes,Few,Low,High,Public,Negative,Low,No,High school,Moderate,Male,Pass
Medium,High,Low,High,Yes,Low,High,Medium,No,Few,Low,Medium,Public,Positive,Medium,No,Postgraduate,Near,Male,Pass
High,Medium,High,High,Yes,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Female,Pass
Medium,High,Medium,Low,Yes,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,College,Near,Male,Pass
High,High,Low,Low,No,Adequate,High,Low,Yes,Few,Low,High,Public,Negative,Low,No,High school,Near,Male,Pass
High,High,High,High,Yes,High,Low,Medium,Yes,Few,Low,Medium,Private,Neutral,Medium,No,High school,Far,Male,Pass
High,High,High,Low,Yes,Adequate,High,Low,No,Few,Low,Low,Public,Neutral,Low,No,College,Moderate,Female,Pass
Medium,Medium,Medium,Low,Yes,Low,High,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,No,Postgraduate,Near,Female,Pass
Medium,High,High,High,No,Low,High,Low,Yes,Few,Medium,Medium,Public,Positive,Medium,No,High school,Near,Male,Pass
High,Medium,Low,Medium,No,Low,Low,High,Yes,Many,Low,Medium,Public,Positive,Low,No,College,Near,Male,Pass
Medium,High,Medium,Medium,No,Adequate,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Low,No,College,Far,Female,Pass
Medium,High,Low,Low,Yes,Low,Low,High,Yes,Few,Low,Medium,Public,Negative,Medium,Yes,Postgraduate,Near,Male,Pass
Medium,High,Medium,High,Yes,Low,Medium,Medium,Yes,Many,High,Medium,Private,Neutral,Low,No,High school,Moderate,Male,Pass
Medium,Medium,High,High,Yes,High,Low,Medium,Yes,Few,High,Medium,Private,Positive,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,Medium,Low,No,Adequate,Low,Medium,Yes,Few,Medium,High,Private,Positive,Low,No,College,Far,Male,Pass
Medium,High,Low,Medium,No,Adequate,High,Medium,No,Few,Medium,High,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,Medium,No,Low,High,Low,No,Few,Medium,Medium,Private,Neutral,Medium,Yes,College,Near,Female,Pass
Medium,Medium,Medium,High,Yes,Low,Medium,High,Yes,Few,High,Medium,Private,Negative,Low,No,High school,Moderate,Male,Pass
High,Medium,Medium,Medium,Yes,Adequate,Low,Medium,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Far,Male,Pass
Low,Medium,Low,High,Yes,Low,Medium,High,Yes,Few,Medium,Medium,Private,Positive,Medium,No,High school,Far,Female,Fail
High,High,High,Medium,Yes,Adequate,Medium,Medium,Yes,Few,Low,High,Private,Neutral,Medium,Yes,High school,Moderate,Male,Pass
High,High,Medium,Medium,Yes,Low,Medium,Low,Yes,Few,Low,Medium,Public,Neutral,Low,No,High school,Moderate,Male,Pass
Medium,High,Medium,High,Yes,High,High,Low,Yes,Few,High,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
Low,Medium,Medium,High,Yes,Low,High,Medium,Yes,Few,High,Medium,Public,Positive,Low,No,High school,Moderate,Female,Pass
Medium,Medium,Medium,High,Yes,Low,Medium,Low,Yes,Few,Medium,Medium,Private,Neutral,Low,Yes,High school,Moderate,Male,Pass
Medium,High,Low,Medium,Yes,Low,Medium,Low,Yes,Few,Medium,Medium,Public,Neutral,Low,No,College,Near,Male,Pass
Medium,High,Medium,Low,Yes,High,High,Low,Yes,Many,Medium,Medium,Public,Neutral,Low,No,Postgraduate,Near,Female,Pass
Medium,High,High,High,No,Low,Low,Low,Yes,Few,High,Medium,Public,Positive,Medium,No,High school,Near,Female,Pass
High,High,High,Medium,Yes,Low,High,Low,Yes,Few,High,High,Public,Neutral,Medium,No,High school,Near,Female,Pass
High,Medium,Low,Medium,No,High,High,High,Yes,Few,High,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,High,High,High,Yes,Low,Medium,Medium,Yes,Few,Low,High,Public,Positive,Medium,No,High school,Near,Male,Pass
Low,High,Low,Medium,No,High,Low,Low,Yes,Few,Medium,Medium,Public,Positive,Low,No,Postgraduate,Near,Male,Pass
Medium,Medium,Low,High,Yes,Adequate,Medium,Medium,No,Few,Medium,Medium,Public,Negative,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,Low,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,College,Near,Female,Pass
High,Medium,Low,Medium,No,Low,High,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Low,Medium,Low,No,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Positive,Low,No,High school,Far,Female,Fail
High,High,High,Low,Yes,Low,Medium,Low,Yes,Few,Low,Low,Private,Positive,Medium,No,High school,Moderate,Male,Pass
Medium,Medium,Low,Low,Yes,Low,High,Low,Yes,Few,Medium,Low,Public,Neutral,Medium,No,College,Moderate,Male,Pass
High,Medium,Low,Low,No,High,Medium,Medium,No,Few,Low,Medium,Public,Negative,Low,No,College,Near,Female,Pass
Medium,Medium,Medium,Low,Yes,Low,High,Low,Yes,Few,Low,Medium,Private,Negative,Medium,No,High school,Far,Male,Pass
Medium,High,Medium,Medium,Yes,Adequate,High,High,Yes,Few,Medium,Medium,Private,Positive,Medium,No,College,Moderate,Female,Pass
Medium,Medium,Medium,Medium,No,High,Medium,High,Yes,Few,High,High,Public,Positive,Medium,No,High school,Near,Female,Pass
High,High,High,Low,No,Low,Low,Medium,Yes,Few,Low,High,Public,Neutral,Low,No,High school,Moderate,Male,Pass
Medium,Low,Low,High,Yes,Adequate,High,Low,Yes,Few,High,Medium,Public,Neutral,Low,No,Postgraduate,Far,Male,Pass
Medium,High,High,Medium,No,Low,High,Low,Yes,Few,Medium,High,Public,Negative,Medium,Yes,High school,Near,Male,Pass
Medium,Medium,Medium,High,Yes,Low,Low,Low,No,Few,Medium,Medium,Public,Neutral,Low,No,College,Near,Female,Pass
Medium,Medium,Medium,High,Yes,Low,Medium,Low,Yes,Few,Low,Medium,Private,Negative,Medium,No,College,Far,Male,Fail
Medium,Medium,Medium,Medium,No,Low,High,High,Yes,Few,High,Medium,Public,Positive,Medium,No,High school,Near,Female,Excellent
High,Medium,Medium,Medium,Yes,Adequate,High,Low,Yes,Many,Medium,Medium,Private,Neutral,Medium,No,High school,Moderate,Male,Fail
Medium,High,Low,Medium,Yes,Low,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,College,Near,Female,Pass
High,High,Low,High,No,Adequate,High,High,Yes,Few,Medium,Medium,Private,Positive,Medium,Yes,Postgraduate,Near,Female,Pass
Medium,Medium,Medium,Medium,Yes,Low,High,Low,Yes,Few,Medium,High,Public,Negative,Medium,No,College,Moderate,Male,Pass
High,Medium,High,Medium,No,Low,Medium,Medium,No,Few,High,High,Public,Positive,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,Low,High,Yes,Adequate,Low,High,No,Many,Low,Medium,Public,Positive,Low,No,High school,Moderate,Male,Pass
High,High,High,High,Yes,Low,Medium,Low,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Low,Medium,Medium,High,No,Adequate,High,Medium,Yes,Few,Medium,High,Public,Neutral,Medium,Yes,High school,Near,Male,Pass
High,High,High,High,No,Adequate,High,Low,No,Many,Low,Medium,Private,Negative,Low,No,High school,Near,Male,Pass
High,High,Medium,High,No,Low,Low,Medium,Yes,Few,Medium,High,Private,Positive,Low,No,High school,Near,Female,Pass
Medium,High,Low,High,No,Adequate,Medium,Medium,Yes,Many,Medium,Medium,Public,Neutral,Low,No,High school,Near,Female,Pass
High,Medium,High,Medium,Yes,Adequate,Low,Medium,Yes,Few,Low,Medium,Private,Neutral,Medium,No,College,Moderate,Female,Pass
High,Low,Low,High,Yes,Adequate,High,Medium,Yes,Many,Low,High,Public,Positive,Medium,Yes,High school,Far,Male,Pass
Low,Low,Medium,High,Yes,High,Medium,Low,Yes,Few,Low,Medium,Private,Positive,Medium,No,College,Moderate,Female,Fail
High,High,Medium,Medium,Yes,High,High,Medium,Yes,Few,Medium,High,Private,Neutral,Medium,No,College,Near,Male,Pass
Low,High,Medium,Medium,Yes,Adequate,Low,Low,No,Few,Low,High,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Pass
Medium,Medium,High,Low,Yes,Low,High,High,Yes,Few,Medium,Medium,Public,Positive,Medium,No,High school,Far,Male,Pass
High,High,High,High,No,Low,Medium,Medium,Yes,Few,High,High,Public,Positive,Low,No,Postgraduate,Near,Male,Pass
Medium,High,High,Medium,Yes,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Positive,Low,No,High school,Near,Male,Pass
Medium,High,High,Medium,No,Low,Medium,Low,No,Few,Low,Low,Public,Positive,Medium,No,Postgraduate,Near,Male,Excellent
Medium,High,Medium,Medium,Yes,Adequate,Medium,High,No,Few,Low,High,Public,Positive,Low,No,High school,Near,Female,Pass
Medium,High,Low,High,Yes,Low,Medium,Medium,No,Many,Medium,Medium,Public,Positive,Medium,No,High school,Far,Male,Pass
Low,Medium,High,Medium,No,Low,High,Low,No,Few,High,High,Public,Negative,Low,No,High school,Near,Female,Pass
Medium,High,Medium,Medium,No,High,High,High,Yes,Few,Low,High,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Pass
High,High,Low,Medium,Yes,High,Low,Medium,No,Many,Low,High,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,Low,Medium,Low,Yes,Many,Medium,Medium,Public,Negative,Low,No,College,Near,Male,Pass
Medium,Medium,High,Low,Yes,Adequate,High,Low,Yes,Many,High,Medium,Private,Neutral,Medium,No,Postgraduate,Near,Female,Fail
Medium,High,Low,Medium,No,Adequate,Low,High,Yes,Many,High,Medium,Public,Negative,Medium,No,High school,Far,Male,Pass
Medium,Medium,High,Medium,No,Adequate,High,Low,Yes,Many,Low,High,Private,Neutral,Medium,No,High school,Near,Male,Pass
High,High,Medium,Medium,Yes,Adequate,High,Medium,Yes,Many,Medium,Medium,Public,Neutral,Low,No,High school,Moderate,Male,Pass
High,Low,Low,Medium,Yes,Low,High,Low,Yes,Many,Medium,Medium,Public,Positive,Low,No,College,Near,Male,Pass
Medium,Medium,High,Low,Yes,High,Low,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Moderate,Female,Fail
Medium,Medium,High,High,Yes,Adequate,High,Low,Yes,Few,Medium,High,Public,Negative,Low,No,College,Moderate,Male,Pass
Medium,Medium,Medium,Medium,Yes,Low,High,Low,Yes,Few,Low,Medium,Private,Positive,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Low,Yes,Adequate,Medium,Medium,Yes,Many,Low,Medium,Public,Positive,Low,No,High school,Near,Female,Pass
High,High,Medium,Low,Yes,Low,Medium,High,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
High,Medium,High,Low,Yes,Adequate,Medium,Medium,Yes,Few,Medium,High,Private,Positive,Low,Yes,Postgraduate,Near,Female,Pass
Medium,Medium,Low,Low,Yes,Adequate,Medium,Low,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Far,Female,Fail
High,Medium,Medium,Medium,Yes,Low,Medium,Low,Yes,Few,Medium,High,Public,Positive,Low,No,High school,Near,Female,Pass
High,Medium,High,High,No,High,Low,Low,Yes,Few,High,Low,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
High,High,Medium,Medium,No,Low,Medium,Medium,Yes,Few,Medium,Medium,Private,Negative,Medium,No,High school,Near,Female,Pass
High,Medium,Medium,Medium,Yes,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,High,High,Yes,Adequate,Medium,Medium,Yes,Few,Low,Medium,Public,Neutral,Low,No,College,Moderate,Female,Pass
Medium,Low,High,Medium,Yes,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Far,Male,Pass
Medium,Medium,High,High,Yes,Low,High,Medium,Yes,Few,Medium,High,Private,Positive,Low,No,Postgraduate,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,Low,Medium,Medium,Yes,Few,Medium,High,Public,Neutral,Low,No,College,Far,Female,Fail
High,Medium,High,Low,No,High,High,Low,Yes,Few,Medium,Medium,Public,Negative,Low,No,College,Moderate,Male,Excellent
Medium,High,High,Medium,Yes,Adequate,Medium,Medium,Yes,Few,Low,High,Public,Positive,Low,No,College,Near,Female,Pass
Low,High,Low,Medium,Yes,Adequate,Low,Medium,Yes,Many,Medium,High,Public,Neutral,Medium,No,High school,Far,Female,Pass
Medium,High,Medium,High,No,High,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Low,No,Postgraduate,Moderate,Male,Pass
High,High,Low,Low,Yes,Low,High,Medium,Yes,Few,Medium,Medium,Public,Negative,Low,Yes,High school,Near,Male,Pass
High,Medium,High,High,Yes,High,Low,Low,Yes,Few,High,High,Public,Positive,Low,No,Postgraduate,Moderate,Male,Pass
Medium,High,High,Medium,No,Adequate,High,Low,Yes,Few,Low,Medium,Private,Negative,Medium,No,Postgraduate,Near,Female,Pass
Medium,High,High,Low,Yes,Low,Low,Low,Yes,Few,Low,High,Public,Negative,Medium,No,High school,Near,Male,Pass
High,High,Low,High,No,Low,High,Medium,No,Few,High,Medium,Public,Positive,Medium,No,College,Moderate,Female,Pass
Medium,Medium,Medium,Medium,No,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Pass
Low,Medium,Low,High,No,Adequate,High,Low,Yes,Few,Medium,Low,Public,Neutral,Medium,No,College,Moderate,Female,Fail
High,High,High,High,Yes,Adequate,Low,Medium,Yes,Few,Low,Medium,Public,Positive,Low,No,High school,Near,Female,Pass
High,High,Medium,Medium,Yes,Low,Medium,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,Postgraduate,Far,Female,Pass
Medium,High,Low,Medium,Yes,Low,High,Medium,Yes,Few,Medium,Medium,Private,Negative,Medium,No,College,Near,Male,Pass
High,High,Low,Medium,No,Adequate,Medium,High,Yes,Few,Medium,Medium,Public,Negative,Medium,Yes,College,Near,Male,Excellent
High,High,Medium,Medium,No,High,Low,Medium,Yes,Few,Low,High,Private,Neutral,Low,No,Postgraduate,Near,Male,Pass
High,Medium,Medium,Low,Yes,Low,Medium,Low,Yes,Few,Medium,Medium,Private,Negative,Low,No,Postgraduate,Near,Female,Pass
High,High,High,Low,No,Low,Low,Low,Yes,Few,Low,High,Public,Positive,Low,No,High school,Near,Female,Pass
Medium,High,Medium,Medium,Yes,Adequate,High,Medium,No,Few,High,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Pass
High,High,Medium,Low,Yes,Low,Medium,Medium,Yes,Few,High,Medium,Public,Negative,Low,No,High school,Moderate,Female,Pass
High,Medium,Low,Low,Yes,Adequate,Medium,High,Yes,Few,Medium,Medium,Public,Negative,Medium,No,College,Far,Male,Pass
High,Medium,Medium,Medium,Yes,Low,High,Medium,No,Many,High,Medium,Public,Positive,Low,No,College,Moderate,Male,Pass
Medium,High,High,Low,No,Low,Medium,Low,Yes,Few,Medium,Medium,Public,Positive,Medium,No,High school,Near,Male,Excellent
High,Medium,Medium,Medium,Yes,Low,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,High,Low,Low,No,Low,Medium,High,Yes,Many,Medium,Medium,Public,Positive,Medium,No,High school,Moderate,Female,Pass
Medium,Medium,High,Low,No,High,High,Medium,Yes,Few,Medium,High,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,Medium,Low,Medium,No,Adequate,Medium,Low,Yes,Few,Medium,Medium,Private,Positive,Medium,No,High school,Moderate,Female,Excellent
Medium,High,High,High,Yes,Adequate,High,Medium,Yes,Many,Medium,Medium,Private,Negative,Low,No,High school,Near,Female,Excellent
Medium,Medium,Medium,Medium,No,Adequate,Low,Low,No,Many,High,Medium,Public,Positive,Medium,No,High school,Near,Male,Pass
High,Medium,High,High,Yes,Adequate,Medium,High,Yes,Many,High,High,Public,Positive,Medium,No,Postgraduate,Near,Male,Pass
Medium,Medium,Low,Low,No,Adequate,Low,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,High,Low,High,Yes,High,Medium,High,Yes,Many,Medium,High,Public,Positive,Low,No,Postgraduate,Moderate,Male,Pass
Medium,Medium,High,Low,No,High,Medium,Low,Yes,Few,Medium,High,Public,Positive,Low,No,College,Near,Female,Pass
Medium,High,High,High,No,Low,Medium,High,Yes,Few,High,Medium,Public,Neutral,Low,No,High school,Near,Male,Pass
Medium,Medium,Medium,High,No,High,High,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Far,Female,Pass
Medium,High,Low,High,No,Low,Medium,Medium,No,Few,Medium,High,Public,Neutral,Medium,Yes,Postgraduate,Far,Female,Pass
High,Medium,High,High,Yes,Low,High,Low,Yes,Many,High,High,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,Medium,Low,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Female,Pass
High,Medium,Medium,Medium,Yes,Adequate,Medium,High,Yes,Many,Medium,Medium,Public,Negative,Medium,No,High school,Moderate,Female,Pass
High,Low,Medium,Medium,Yes,High,Low,Low,Yes,Many,Low,High,Private,Neutral,Low,No,Postgraduate,Near,Female,Pass
Medium,High,Medium,Medium,Yes,High,High,Low,Yes,Few,Medium,High,Public,Negative,Low,No,High school,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,Adequate,Medium,High,No,Few,Medium,Medium,Public,Neutral,Low,Yes,College,Near,Male,Fail
High,Medium,Medium,Low,No,High,High,Medium,Yes,Few,Low,High,Private,Neutral,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Medium,No,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,Medium,High,Low,Yes,Low,Medium,Low,Yes,Few,Low,Low,Public,Positive,Medium,No,Postgraduate,Near,Female,Fail
High,High,Medium,Medium,Yes,Adequate,Low,Medium,Yes,Few,Medium,Medium,Public,Negative,Medium,No,College,Near,Female,Pass
High,High,Medium,Medium,Yes,Adequate,Medium,Medium,No,Few,High,High,Public,Negative,Medium,No,College,Near,Female,Pass
Medium,High,Medium,Low,Yes,Low,Medium,Medium,Yes,Many,Low,Medium,Private,Negative,Medium,No,College,Near,Male,Pass
Medium,Medium,High,Medium,No,High,Medium,Medium,Yes,Few,Medium,Medium,Public,Neutral,Low,No,High school,Near,Male,Pass
Medium,High,Low,Low,Yes,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Positive,Medium,No,College,Near,Female,Pass
Medium,High,Low,High,No,Low,High,Low,Yes,Few,High,Low,Private,Negative,Medium,No,College,Near,Male,Pass
Medium,Medium,High,Medium,Yes,Low,High,High,Yes,Few,High,High,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
High,High,Low,Medium,No,Adequate,Medium,Medium,No,Few,Low,High,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Pass
Medium,Low,Medium,Low,No,High,Medium,Medium,Yes,Few,Medium,High,Public,Negative,Medium,No,College,Moderate,Male,Fail
